Datetime,AIN-10
2026-04-16 09:30:00,0.0
2026-04-16 09:35:00,-0.30439143642063016
2026-04-16 09:40:00,0.03591776302391714
2026-04-16 09:45:00,-0.27638302045672747
2026-04-16 09:50:00,-1.445266867224504
2026-04-16 09:55:00,-1.1758410297039235
2026-04-16 10:00:00,-1.1401595531444486
2026-04-16 10:05:00,-0.8810334005935673
2026-04-16 10:10:00,-0.9413135933084705
2026-04-16 10:15:00,-1.2579072419281077
2026-04-16 10:20:00,-1.3371857470419013
2026-04-16 10:25:00,-0.9728823692771238
2026-04-16 10:30:00,-0.8495124183477619
2026-04-16 10:35:00,-0.960345569915485
2026-04-16 10:40:00,-0.8276692549764132
2026-04-16 10:45:00,-0.5118860517129542
2026-04-16 10:50:00,-0.5089209367690029
2026-04-16 10:55:00,-0.6114711317183041
